sample	rep	baseName	poolBaseName	fastq_trim_r1	bam	peaks	bed	bigwig_rpgcNorm	bigwig_rpgcNorm_zNorm
wt_3LW	Rep1	wt_3LW-Rep1	wt_3LW	Fastq/wt_3LW-Rep1_R1_trim.fastq.gz	Bam/wt_3LW-Rep1_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_3LW-Rep1_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_3LW-Rep1_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_3LW-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_3LW-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_3LW	Rep2	wt_3LW-Rep2	wt_3LW	Fastq/wt_3LW-Rep2_R1_trim.fastq.gz	Bam/wt_3LW-Rep2_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_3LW-Rep2_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_3LW-Rep2_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_3LW-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_3LW-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_3LW	Rep3	wt_3LW-Rep3	wt_3LW	Fastq/wt_3LW-Rep3_R1_trim.fastq.gz	Bam/wt_3LW-Rep3_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_3LW-Rep3_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_3LW-Rep3_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_3LW-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_3LW-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_6h	Rep1	wt_6h-Rep1	wt_6h	Fastq/wt_6h-Rep1_R1_trim.fastq.gz	Bam/wt_6h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_6h-Rep1_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_6h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_6h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_6h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_6h	Rep2	wt_6h-Rep2	wt_6h	Fastq/wt_6h-Rep2_R1_trim.fastq.gz	Bam/wt_6h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_6h-Rep2_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_6h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_6h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_6h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_18h	Rep1	wt_18h-Rep1	wt_18h	Fastq/wt_18h-Rep1_R1_trim.fastq.gz	Bam/wt_18h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_18h-Rep1_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_18h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_18h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_18h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_18h	Rep2	wt_18h-Rep2	wt_18h	Fastq/wt_18h-Rep2_R1_trim.fastq.gz	Bam/wt_18h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_18h-Rep2_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_18h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_18h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_18h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_18h	Rep3	wt_18h-Rep3	wt_18h	Fastq/wt_18h-Rep3_R1_trim.fastq.gz	Bam/wt_18h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_18h-Rep3_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_18h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_18h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_18h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_18h	Rep4	wt_18h-Rep4	wt_18h	Fastq/wt_18h-Rep4_R1_trim.fastq.gz	Bam/wt_18h-Rep4_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_18h-Rep4_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_18h-Rep4_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_18h-Rep4_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_18h-Rep4_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_24h	Rep1	wt_24h-Rep1	wt_24h	Fastq/wt_24h-Rep1_R1_trim.fastq.gz	Bam/wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_24h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_24h	Rep2	wt_24h-Rep2	wt_24h	Fastq/wt_24h-Rep2_R1_trim.fastq.gz	Bam/wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_24h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_24h	Rep3	wt_24h-Rep3	wt_24h	Fastq/wt_24h-Rep3_R1_trim.fastq.gz	Bam/wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_24h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_36h	Rep3	wt_36h-Rep3	wt_36h	Fastq/wt_36h-Rep3_R1_trim.fastq.gz	Bam/wt_36h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_36h-Rep3_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_36h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_36h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_36h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_36h	Rep2	wt_36h-Rep2	wt_36h	Fastq/wt_36h-Rep2_R1_trim.fastq.gz	Bam/wt_36h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_36h-Rep2_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_36h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_36h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_36h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_36h	Rep1	wt_36h-Rep1	wt_36h	Fastq/wt_36h-Rep1_R1_trim.fastq.gz	Bam/wt_36h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_36h-Rep1_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_36h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_36h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_36h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_44h	Rep1	wt_44h-Rep1	wt_44h	Fastq/wt_44h-Rep1_R1_trim.fastq.gz	Bam/wt_44h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_44h-Rep1_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_44h-Rep1_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_44h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_44h-Rep1_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_44h	Rep2	wt_44h-Rep2	wt_44h	Fastq/wt_44h-Rep2_R1_trim.fastq.gz	Bam/wt_44h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_44h-Rep2_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_44h-Rep2_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_44h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_44h-Rep2_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
wt_44h	Rep3	wt_44h-Rep3	wt_44h	Fastq/wt_44h-Rep3_R1_trim.fastq.gz	Bam/wt_44h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bam	Peaks/wt_44h-Rep3_dm6_trim_q5_sorted_dupsRemoved_peaks.narrowPeak	Bed/wt_44h-Rep3_dm6_trim_q5_sorted_dupsRemoved.bed	BigWig/wt_44h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm.bw	BigWig/wt_44h-Rep3_dm6_trim_q5_sorted_dupsRemoved_rpgcNorm_zNorm.bw
