symbol,line,date,drop
osa,31266,210714,Series001
osa,31266,210714,Series002
osa,31266,210503,ALL
osa,31266,210423,Series001
osa,31266,210423,Series003
osa,31266,210421,Series005
osa,31266,210421,Series001
osa,31266,210421,Series002
osa,v330350,210714,Series001
Bap111,26218,210217,Series001
Bap111,26218,210217,Series002
Bap111,26218,210217,Series003
Tip60,v110617,220224,a1
Tip60,v110617,220224,b1
MTA1-like,34624,210714,Series001
Snr1,32372,210323,Series003
Snr1,32372,210617,Series002
Mi-2,34919,210422,Series001
Mi-2,34919,210422,Series002
mor,v6969,210714,Series004
mor,v6969,210714,Series001
okr,33707,210304,Series002
polybromo,v108618,220310,e1
polybromo,v108618,220310,a1
dom,55917,210317,Series001
dom,55917,210317,Series003
dom,55917,210317,Series005
dom,55917,210317,Series007
dom,55917,210317,Series008
dom,40914,210331,Series001
dom,38941,210331,Series001
D12,65062,210317,Series002
NC2beta,57421,210317,Series001
E(bx),33658,210304,Series001
E(bx),33658,210304,Series002
Chd1,34665,210512,Series002
brm,31712,210527,Series002